player_season_id,rank,similar_player_season_id,similarity
bundesliga_1fcheidenheim1846_marnonbusch__2425,9,bundesliga_1fcheidenheim1846_marnonbusch__2526,0.9843
bundesliga_1fcheidenheim1846_marnonbusch__2425,10,premierleague_crystalpalace_joelward__2324,0.9842
bundesliga_1fcheidenheim1846_marnonbusch__2526,1,laliga_osasuna_valentinrosier__2526,0.9931
bundesliga_1fcheidenheim1846_marnonbusch__2526,2,laliga_getafe_juaniglesias__2425,0.9917
bundesliga_1fcheidenheim1846_marnonbusch__2526,3,premierleague_leicestercity_jamesjustin__2425,0.9893
bundesliga_1fcheidenheim1846_marnonbusch__2526,4,ligue1_brest_kennylala__2526,0.9882
bundesliga_1fcheidenheim1846_marnonbusch__2526,5,superlig_fatihkaragumruk_esgaio__2526,0.9879
bundesliga_1fcheidenheim1846_marnonbusch__2526,6,laliga_sevilla_joseangelcarmona__2526,0.9878
bundesliga_1fcheidenheim1846_marnonbusch__2526,7,seriea_como_albertomoreno__2425,0.9871
bundesliga_1fcheidenheim1846_marnonbusch__2526,8,laliga_leganes_adriaaltimira__2425,0.9862
bundesliga_1fcheidenheim1846_marnonbusch__2526,9,laliga_valenciacf_dimitrifoulquier__2425,0.9862
bundesliga_1fcheidenheim1846_marnonbusch__2526,10,laliga_mallorca_giovannigonzalez__2324,0.9862
bundesliga_1fcheidenheim1846_marvinpieringer__2425,1,superlig_samsunspor_mariusmouandilmadji__2425,0.9848
bundesliga_1fcheidenheim1846_marvinpieringer__2425,2,laliga_mallorca_cylelarin__2425,0.9810
bundesliga_1fcheidenheim1846_marvinpieringer__2425,3,premierleague_fulham_rauljimenez__2526,0.9804
bundesliga_1fcheidenheim1846_marvinpieringer__2425,4,seriea_pisa_stefanomoreo__2526,0.9790
bundesliga_1fcheidenheim1846_marvinpieringer__2425,5,laliga_realoviedo_federicovinas__2526,0.9787
bundesliga_1fcheidenheim1846_marvinpieringer__2425,6,laliga_celtavigo_jorgenstrandlarsen__2324,0.9785
bundesliga_1fcheidenheim1846_marvinpieringer__2425,7,laliga_valencia_hugoduro__2324,0.9781
bundesliga_1fcheidenheim1846_marvinpieringer__2425,8,bundesliga_sportclubfreiburg_lucasholer__2425,0.9780
bundesliga_1fcheidenheim1846_marvinpieringer__2425,9,premierleague_brentford_igorthiago__2526,0.9774
bundesliga_1fcheidenheim1846_marvinpieringer__2425,10,seriea_lazio_boulayedia__2425,0.9773
bundesliga_1fcheidenheim1846_marvinpieringer__2526,1,bundesliga_fcheidenheim_marvinpieringer__2324,0.9738
bundesliga_1fcheidenheim1846_marvinpieringer__2526,2,superlig_caykurrizespor_dalvaresanovic__2425,0.9708
bundesliga_1fcheidenheim1846_marvinpieringer__2526,3,premierleague_crystalpalace_ismailasarr__2526,0.9700
bundesliga_1fcheidenheim1846_marvinpieringer__2526,4,bundesliga_sportclubfreiburg_lucasholer__2526,0.9698
bundesliga_1fcheidenheim1846_marvinpieringer__2526,5,laliga_espanyol_kikegarcia__2526,0.9691
bundesliga_1fcheidenheim1846_marvinpieringer__2526,6,laliga_elche_andresilva__2526,0.9682
bundesliga_1fcheidenheim1846_marvinpieringer__2526,7,seriea_sassuolo_mbalanzola__2526,0.9681
bundesliga_1fcheidenheim1846_marvinpieringer__2526,8,seriea_parma_angeyoanbonny__2425,0.9679
bundesliga_1fcheidenheim1846_marvinpieringer__2526,9,laliga_espanyol_peremilla__2526,0.9677
bundesliga_1fcheidenheim1846_marvinpieringer__2526,10,bundesliga_freiburg_lucasholer__2324,0.9672
bundesliga_1fcheidenheim1846_mathiashonsak__2425,1,ligue1_nice_tomlouchet__2526,0.9717
bundesliga_1fcheidenheim1846_mathiashonsak__2425,2,seriea_cagliari_sebastianoesposito__2526,0.9709
bundesliga_1fcheidenheim1846_mathiashonsak__2425,3,premierleague_wolverhamptonwanderers_jhonarias__2526,0.9707
bundesliga_1fcheidenheim1846_mathiashonsak__2425,4,ligue1_lehavre_yassinekechta__2526,0.9696
bundesliga_1fcheidenheim1846_mathiashonsak__2425,5,bundesliga_sportclubfreiburg_vincenzogrifo__2526,0.9680
bundesliga_1fcheidenheim1846_mathiashonsak__2425,6,superlig_konyaspor_alexandrucicaldau__2324,0.9662
bundesliga_1fcheidenheim1846_mathiashonsak__2425,7,bundesliga_eintrachtfrankfurt_fareschaibi__2526,0.9659
bundesliga_1fcheidenheim1846_mathiashonsak__2425,8,ligue1_toulouse_arondonnum__2526,0.9638
bundesliga_1fcheidenheim1846_mathiashonsak__2425,9,seriea_sassuolo_domenicoberardi__2526,0.9631
bundesliga_1fcheidenheim1846_mathiashonsak__2425,10,seriea_salernitana_grigoriskastanos__2324,0.9623
bundesliga_1fcheidenheim1846_mathiashonsak__2526,1,seriea_juventus_westonmckennie__2526,0.9760
bundesliga_1fcheidenheim1846_mathiashonsak__2526,2,ligue1_lens_floriansotoca__2324,0.9698
bundesliga_1fcheidenheim1846_mathiashonsak__2526,3,seriea_parma_matteocancellieri__2425,0.9692
bundesliga_1fcheidenheim1846_mathiashonsak__2526,4,premierleague_newcastleunited_joelinton__2425,0.9665
bundesliga_1fcheidenheim1846_mathiashonsak__2526,5,ligue1_lens_angelofulgini__2425,0.9662
bundesliga_1fcheidenheim1846_mathiashonsak__2526,6,premierleague_westhamunited_mohammedkudus__2324,0.9652
bundesliga_1fcheidenheim1846_mathiashonsak__2526,7,superlig_ankaragucu_tasoschatzigiovanis__2324,0.9649
bundesliga_1fcheidenheim1846_mathiashonsak__2526,8,superlig_samsunspor_nanydimata__2425,0.9638
bundesliga_1fcheidenheim1846_mathiashonsak__2526,9,bundesliga_bayernmunchen_thomasmuller__2324,0.9627
bundesliga_1fcheidenheim1846_mathiashonsak__2526,10,bundesliga_freiburg_ritsudoan__2324,0.9619
bundesliga_1fcheidenheim1846_niklasdorsch__2425,1,superlig_hatayspor_gorkemsaglam__2324,0.9840
bundesliga_1fcheidenheim1846_niklasdorsch__2425,2,seriea_torino_ivanilic__2324,0.9802
